"elevation","light","zenith"
-12,122.319337511826,102
-11.8,122.319337511826,101.8
-11.6,122.319337511826,101.6
-11.4,122.319337511826,101.4
-11.2,122.319337511826,101.2
-11,122.319337511826,101
-10.8,122.319337511826,100.8
-10.6,122.319337511826,100.6
-10.4,122.319337511826,100.4
-10.2,122.319337511826,100.2
-10,122.319337511826,100
-9.8,122.319337511826,99.8
-9.6,122.319337511826,99.6
-9.4,122.319337511826,99.4
-9.2,122.319337511826,99.2
-9,122.319337511826,99
-8.8,122.319337511826,98.8
-8.6,122.319337511826,98.6
-8.4,123.072579168579,98.4
-8.2,124.01710800391,98.2
-8,124.982410508623,98
-7.8,125.979338406573,97.8
-7.6,127.012100878248,97.6
-7.4,128.083429597961,97.4
-7.2,129.196455898801,97.2
-7,130.353519799187,97
-6.8,131.557391484527,96.8
-6.6,132.812246262178,96.6
-6.4,134.122588036169,96.4
-6.2,135.493220019524,96.2
-6,136.929482880353,96
-5.8,138.43611252321,95.8
-5.6,140.017778835757,95.6
-5.4,141.679771766992,95.4
-5.2,143.425567437055,95.2
-5,145.247385825558,95
-4.8,147.127249426226,94.8
-4.6,149.045583271828,94.6
-4.4,150.982555090891,94.4
-4.2,152.918691961553,94.2
-4,154.834176534825,94
-3.8,156.709565365408,93.8
-3.6,158.525415228559,93.6
-3.4,160.261332343031,93.4
-3.2,161.900081523899,93.2
-3,163.43732456631,93
-2.8,164.876703783408,92.8
-2.6,166.223563597716,92.6
-2.4,167.482808661205,92.4
-2.2,168.658366583042,92.2
-2,169.752949390173,92
-1.8,170.775089655151,91.8
-1.6,171.736128827827,91.6
-1.4,172.647787884448,91.4
-1.2,173.521984163753,91.2
-1,174.37026984729,91
-0.799999999999999,175.204329431203,90.8
-0.6,176.035942713395,90.6
-0.399999999999999,176.878051554494,90.4
-0.199999999999999,177.742378120784,90.2
0,178.627216690834,90
0.200000000000001,179.528345990445,89.8
0.4,180.441613227865,89.6
0.600000000000001,181.362647798315,89.4
0.800000000000001,182.287016562295,89.2
1,183.203973776621,89
1.2,184.102426157983,88.8
1.4,184.978889241362,88.6
1.6,185.830076301199,88.4
1.8,186.652859791284,88.2
2,187.444217167649,88
2.2,188.200871882592,87.8
2.4,188.919589696643,87.6
2.6,189.597448318,87.4
2.8,190.232513663504,87.2
3,190.827486669335,87
3.2,191.386904071636,86.8
3.4,191.91494409858,86.6
3.6,192.415618841739,86.4
3.8,192.893412332953,86.2
4,193.352520292884,86
4.2,193.797050996644,85.8
4.4,194.231359589335,85.6
4.6,194.659657002327,85.4
4.8,195.086157327244,85.2
5,195.514983043512,85
5.2,195.946091459961,84.8
5.4,196.375924707172,84.6
5.6,196.803082164036,84.4
5.8,197.226357496973,84.2
6,197.644539963996,84
6.2,198.057088573709,83.8
6.4,198.463925803467,83.6
6.6,198.864607321486,83.4
6.8,199.258642307396,83.2
7,199.645632377966,83
7.2,200.025129180541,82.8
7.4,200.396607836405,82.6
7.6,200.759693159842,82.4
7.8,201.113938770507,82.2
8,201.458816955105,82
8.2,201.793939943465,81.8
8.4,202.118874801967,81.6
8.6,202.433101457867,81.4
8.8,202.736803578767,81.2
9,203.026398684145,81
9.2,203.026398684145,80.8
9.4,203.026398684145,80.6
9.6,203.026398684145,80.4
9.8,203.026398684145,80.2
10,203.026398684145,80
10.2,203.026398684145,79.8
10.4,203.026398684145,79.6
10.6,203.026398684145,79.4
10.8,203.026398684145,79.2
11,203.026398684145,79
11.2,203.026398684145,78.8
11.4,203.026398684145,78.6
11.6,203.026398684145,78.4
11.8,203.026398684145,78.2
12,203.026398684145,78
